Cell,Y,Z,Total Flux Tally,Error
cell  201,7.5,37.5,2.01E-05,0.0189
cell  202,22.5,37.5,5.38E-05,0.0118
cell  203,37.5,37.5,8.23E-05,0.0096
cell  204,52.5,37.5,1.04E-04,0.0086
cell  205,67.5,37.5,1.19E-04,0.008
cell  206,82.5,37.5,1.19E-04,0.008
cell  207,97.5,37.5,1.12E-04,0.0083
cell  208,112.5,37.5,9.15E-05,0.0092
cell  209,127.5,37.5,6.82E-05,0.0106
cell  210,142.5,37.5,3.67E-05,0.0143
cell  211,7.5,52.5,2.76E-05,0.0164
cell  212,22.5,52.5,7.18E-05,0.0105
cell  213,37.5,52.5,1.07E-04,0.0084
cell  214,52.5,52.5,1.38E-04,0.0074
cell  215,67.5,52.5,1.54E-04,0.007
cell  216,82.5,52.5,1.59E-04,0.007
cell  217,97.5,52.5,1.48E-04,0.0071
cell  218,112.5,52.5,1.24E-04,0.0079
cell  219,127.5,52.5,9.06E-05,0.0093
cell  220,142.5,52.5,4.82E-05,0.0123
cell  221,7.5,67.5,3.33E-05,0.0145
cell  222,22.5,67.5,8.45E-05,0.0095
cell  223,37.5,67.5,1.30E-04,0.0077
cell  224,52.5,67.5,1.62E-04,0.0069
cell  225,67.5,67.5,1.82E-04,0.0065
cell  226,82.5,67.5,1.88E-04,0.0063
cell  227,97.5,67.5,1.74E-04,0.0066
cell  228,112.5,67.5,1.44E-04,0.0072
cell  229,127.5,67.5,1.07E-04,0.0086
cell  230,142.5,67.5,5.74E-05,0.0115
cell  231,7.5,82.5,3.51E-05,0.0148
cell  232,22.5,82.5,9.01E-05,0.0091
cell  233,37.5,82.5,1.38E-04,0.0075
cell  234,52.5,82.5,1.76E-04,0.0066
cell  235,67.5,82.5,1.97E-04,0.0062
cell  236,82.5,82.5,2.00E-04,0.0062
cell  237,97.5,82.5,1.87E-04,0.0064
cell  238,112.5,82.5,1.58E-04,0.007
cell  239,127.5,82.5,1.17E-04,0.0081
cell  240,142.5,82.5,6.22E-05,0.0109
cell  241,7.5,97.5,3.62E-05,0.0141
cell  242,22.5,97.5,9.10E-05,0.0091
cell  243,37.5,97.5,1.40E-04,0.0074
cell  244,52.5,97.5,1.76E-04,0.0066
cell  245,67.5,97.5,1.98E-04,0.0062
cell  246,82.5,97.5,2.02E-04,0.0061
cell  247,97.5,97.5,1.91E-04,0.0064
cell  248,112.5,97.5,1.57E-04,0.007
cell  249,127.5,97.5,1.15E-04,0.0083
cell  250,142.5,97.5,6.30E-05,0.0109
cell  251,7.5,112.5,3.43E-05,0.0149
cell  252,22.5,112.5,8.72E-05,0.0093
cell  253,37.5,112.5,1.33E-04,0.0076
cell  254,52.5,112.5,1.67E-04,0.0068
cell  255,67.5,112.5,1.88E-04,0.0063
cell  256,82.5,112.5,1.91E-04,0.0064
cell  257,97.5,112.5,1.77E-04,0.0066
cell  258,112.5,112.5,1.47E-04,0.0071
cell  259,127.5,112.5,1.10E-04,0.0084
cell  260,142.5,112.5,5.98E-05,0.0113
cell  261,7.5,127.5,2.99E-05,0.0158
cell  262,22.5,127.5,7.55E-05,0.0101
cell  263,37.5,127.5,1.17E-04,0.008
cell  264,52.5,127.5,1.44E-04,0.0072
cell  265,67.5,127.5,1.64E-04,0.0068
cell  266,82.5,127.5,1.65E-04,0.0068
cell  267,97.5,127.5,1.55E-04,0.007
cell  268,112.5,127.5,1.29E-04,0.0077
cell  269,127.5,127.5,9.46E-05,0.009
cell  270,142.5,127.5,5.11E-05,0.0121
cell  271,7.5,142.5,2.34E-05,0.0182
cell  272,22.5,142.5,5.84E-05,0.0113
cell  273,37.5,142.5,9.03E-05,0.0091
cell  274,52.5,142.5,1.13E-04,0.0083
cell  275,67.5,142.5,1.28E-04,0.0077
cell  276,82.5,142.5,1.30E-04,0.0076
cell  277,97.5,142.5,1.20E-04,0.008
cell  278,112.5,142.5,1.01E-04,0.0087
cell  279,127.5,142.5,7.34E-05,0.0101
cell  280,142.5,142.5,4.06E-05,0.0136
cell  281,7.5,157.5,1.55E-05,0.0225
cell  282,22.5,157.5,3.87E-05,0.014
cell  283,37.5,157.5,5.81E-05,0.0113
cell  284,52.5,157.5,7.34E-05,0.0102
cell  285,67.5,157.5,8.26E-05,0.0096
cell  286,82.5,157.5,8.46E-05,0.0096
cell  287,97.5,157.5,7.90E-05,0.0099
cell  288,112.5,157.5,6.61E-05,0.0108
cell  289,127.5,157.5,4.84E-05,0.0126
cell  290,142.5,157.5,2.69E-05,0.0165
cell  291,7.5,172.5,5.75E-06,0.0349
cell  292,22.5,172.5,1.47E-05,0.0222
cell  293,37.5,172.5,2.31E-05,0.0183
cell  294,52.5,172.5,2.84E-05,0.016
cell  295,67.5,172.5,3.14E-05,0.0152
cell  296,82.5,172.5,3.29E-05,0.0149
cell  297,97.5,172.5,3.06E-05,0.0156
cell  298,112.5,172.5,2.59E-05,0.017
cell  299,127.5,172.5,1.86E-05,0.0196
cell  300,142.5,172.5,1.02E-05,0.0271